checkpoint,selected,hard_reject,reject_reasons,n_episodes,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_reward_mean,episode_modified_reward_mean,episode_cost_mean,cost_violation_rate,avg_episode_length,safety_efficiency_score
runs/research_v1/axis5_near_failure_scorer_seed3000/checkpoints/latest_100000_steps.zip,False,False,,100.0,0.46,0.26,0.45,0.54,0.7205265913054619,-737.5001248266369,-737.5001248266369,241.16,0.0,420.72,-0.52
runs/research_v1/axis5_near_failure_scorer_seed3000/checkpoints/latest_200000_steps.zip,True,False,,100.0,0.38,0.15,0.49,0.62,0.6252879438210404,-825.0094345294054,-825.0094345294054,275.65,0.0,429.93,-0.5700000000000001
runs/research_v1/axis5_near_failure_scorer_seed3000/checkpoints/latest_300000_steps.zip,False,False,,100.0,0.56,0.28,0.52,0.44,0.7016770603583717,-666.3567806653457,-666.3567806653457,256.22,0.0,409.95,-0.45999999999999996
runs/research_v1/axis5_near_failure_scorer_seed3000/checkpoints/final.zip,False,False,,100.0,0.46,0.17,0.49,0.54,0.6869511181877718,-698.0046493798786,-698.0046493798786,244.97,0.0,419.34,-0.47
