checkpoint,selected,hard_reject,reject_reasons,n_episodes,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_reward_mean,episode_modified_reward_mean,episode_cost_mean,cost_violation_rate,avg_episode_length,safety_efficiency_score
runs/research_v1/axis5_near_failure_scorer_final_s42/checkpoints/latest_100000_steps.zip,True,False,,100.0,0.51,0.3,0.31,0.49,0.709586497690929,-709.9497728974308,-709.9497728974308,238.41,0.0,421.0,-0.345
runs/research_v1/axis5_near_failure_scorer_final_s42/checkpoints/latest_200000_steps.zip,False,False,,100.0,0.47,0.23,0.54,0.53,0.6794783945506289,-799.5888281142173,-799.5888281142173,278.6,0.0,422.6,-0.5650000000000001
runs/research_v1/axis5_near_failure_scorer_final_s42/checkpoints/latest_300000_steps.zip,False,False,,100.0,0.47,0.25,0.51,0.53,0.689951503751941,-711.8653332511534,-711.8653332511534,270.09,0.0,419.84,-0.555
runs/research_v1/axis5_near_failure_scorer_final_s42/checkpoints/final.zip,False,False,,100.0,0.45,0.18,0.49,0.55,0.635601953300391,-775.0186883587511,-775.0186883587511,266.91,0.0,421.16,-0.495
