checkpoint,selected,hard_reject,reject_reasons,n_episodes,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_reward_mean,episode_modified_reward_mean,episode_cost_mean,cost_violation_rate,avg_episode_length,safety_efficiency_score
runs/research_v1/axis5_default_scorer_seed3000/checkpoints/latest_100000_steps.zip,False,False,,100.0,0.4,0.27,0.45,0.6,0.6672353496985773,-726.2524032298705,-726.2524032298705,253.31,0.0,428.58,-0.62
runs/research_v1/axis5_default_scorer_seed3000/checkpoints/latest_200000_steps.zip,False,False,,100.0,0.44,0.23,0.49,0.56,0.6310217638110571,-826.4604024073751,-826.4604024073751,262.33,0.0,424.87,-0.56
runs/research_v1/axis5_default_scorer_seed3000/checkpoints/latest_300000_steps.zip,True,False,,100.0,0.49,0.28,0.46,0.51,0.6930649856337232,-698.3322717660776,-698.3322717660776,239.9,0.0,422.33,-0.5050000000000001
runs/research_v1/axis5_default_scorer_seed3000/checkpoints/final.zip,False,False,,100.0,0.41,0.18,0.46,0.59,0.6941798549830129,-646.3964731445445,-646.3964731445445,233.33,0.0,423.62,-0.525
