checkpoint,selected,hard_reject,reject_reasons,n_episodes,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_reward_mean,episode_modified_reward_mean,episode_cost_mean,cost_violation_rate,avg_episode_length,safety_efficiency_score
runs/research_v1/axis5_near_failure_scorer_seed4000/checkpoints/latest_100000_steps.zip,True,False,,100.0,0.55,0.29,0.32,0.45,0.715482693420563,-697.6041081951256,-697.6041081951256,236.31,0.0,418.36,-0.2849999999999999
runs/research_v1/axis5_near_failure_scorer_seed4000/checkpoints/latest_200000_steps.zip,False,False,,100.0,0.51,0.19,0.4,0.49,0.6876756885471977,-681.0160209208605,-681.0160209208605,246.9,0.0,414.45,-0.325
runs/research_v1/axis5_near_failure_scorer_seed4000/checkpoints/latest_300000_steps.zip,False,False,,100.0,0.52,0.19,0.44,0.48,0.7015646515384979,-606.2262660134289,-606.2262660134289,228.66,0.0,406.63,-0.35
runs/research_v1/axis5_near_failure_scorer_seed4000/checkpoints/final.zip,False,False,,100.0,0.46,0.21,0.41,0.54,0.6653193660233658,-662.6734898626632,-662.6734898626632,244.81,0.0,415.1,-0.43
