checkpoint,selected,hard_reject,reject_reasons,n_episodes,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_reward_mean,episode_modified_reward_mean,episode_cost_mean,cost_violation_rate,avg_episode_length,safety_efficiency_score
runs/research_v1/axis4_cost_event_driving_final_s42/checkpoints/latest_100000_steps.zip,True,False,,100.0,0.56,0.33,0.26,0.44,0.7204431498125665,-714.2836697131605,-714.2836697131605,229.05,0.0,423.54,-0.24999999999999997
runs/research_v1/axis4_cost_event_driving_final_s42/checkpoints/latest_200000_steps.zip,False,False,,100.0,0.47,0.37,0.43,0.53,0.7178565457752479,-769.5011609979192,-769.5011609979192,252.38,0.0,428.64,-0.595
runs/research_v1/axis4_cost_event_driving_final_s42/checkpoints/latest_300000_steps.zip,False,False,,100.0,0.48,0.32,0.36,0.52,0.7114074812202457,-746.841510875956,-746.841510875956,250.73,0.0,424.09,-0.46
runs/research_v1/axis4_cost_event_driving_final_s42/checkpoints/final.zip,False,False,,100.0,0.51,0.42,0.37,0.49,0.7125853417143585,-719.0124891142838,-719.0124891142838,239.48,0.0,426.32,-0.5249999999999999
