checkpoint,selected,hard_reject,reject_reasons,n_episodes,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_reward_mean,episode_modified_reward_mean,episode_cost_mean,cost_violation_rate,avg_episode_length,safety_efficiency_score
runs/research_v1/axis4_cost_default_final_s3000/checkpoints/latest_100000_steps.zip,False,False,,100.0,0.43,0.27,0.44,0.57,0.6756027014984005,-737.1405801758169,-737.1405801758169,230.79,0.0,429.66,-0.565
runs/research_v1/axis4_cost_default_final_s3000/checkpoints/latest_200000_steps.zip,False,False,,100.0,0.48,0.37,0.53,0.52,0.6992045084476487,-788.00096895412,-788.00096895412,274.36,0.0,421.36,-0.68
runs/research_v1/axis4_cost_default_final_s3000/checkpoints/latest_300000_steps.zip,True,False,,100.0,0.53,0.29,0.49,0.47,0.7266203311000826,-803.9110930124162,-803.9110930124162,294.85,0.0,418.55,-0.48499999999999993
runs/research_v1/axis4_cost_default_final_s3000/checkpoints/final.zip,False,False,,100.0,0.46,0.3,0.57,0.54,0.7040846997141602,-801.4462845932301,-801.4462845932301,292.3,0.0,424.19,-0.6799999999999999
