checkpoint,selected,hard_reject,reject_reasons,n_episodes,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_reward_mean,episode_modified_reward_mean,episode_cost_mean,cost_violation_rate,avg_episode_length,safety_efficiency_score
runs/research_v1/axis4_cost_crash_only_final_s3000/checkpoints/latest_100000_steps.zip,False,False,,100.0,0.51,0.25,0.39,0.49,0.6944583484537964,-691.1312353048816,-691.1312353048816,238.67,0.0,417.08,-0.375
runs/research_v1/axis4_cost_crash_only_final_s3000/checkpoints/latest_200000_steps.zip,True,False,,100.0,0.51,0.17,0.4,0.49,0.7063549272139231,-647.1993741028145,-647.1993741028145,233.24,0.0,411.63,-0.30500000000000005
runs/research_v1/axis4_cost_crash_only_final_s3000/checkpoints/latest_300000_steps.zip,False,False,,100.0,0.48,0.25,0.43,0.52,0.6459890191017883,-682.6849117840815,-682.6849117840815,253.37,0.0,419.3,-0.46
runs/research_v1/axis4_cost_crash_only_final_s3000/checkpoints/final.zip,False,False,,100.0,0.49,0.23,0.46,0.52,0.6871225945147991,-657.6574374125029,-657.6574374125029,241.82,0.0,417.93,-0.46
