checkpoint,selected,hard_reject,reject_reasons,n_episodes,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_reward_mean,episode_modified_reward_mean,episode_cost_mean,cost_violation_rate,avg_episode_length,safety_efficiency_score
runs/research_v1/axis4_cost_nearmiss_heavy_final_s2000/checkpoints/latest_100000_steps.zip,False,False,,100.0,0.42,0.26,0.49,0.59,0.6489151619658584,-765.2869922292505,-765.2869922292505,263.92,0.0,423.8,-0.625
runs/research_v1/axis4_cost_nearmiss_heavy_final_s2000/checkpoints/latest_200000_steps.zip,False,False,,100.0,0.48,0.28,0.58,0.52,0.6507498463069317,-837.5430536205382,-837.5430536205382,295.15,0.0,420.49,-0.64
runs/research_v1/axis4_cost_nearmiss_heavy_final_s2000/checkpoints/latest_300000_steps.zip,True,False,,100.0,0.58,0.31,0.44,0.43,0.7418000072547031,-733.7807403587154,-733.7807403587154,266.02,0.0,406.15,-0.385
runs/research_v1/axis4_cost_nearmiss_heavy_final_s2000/checkpoints/final.zip,False,False,,100.0,0.46,0.31,0.47,0.54,0.708814771198172,-793.3671087028524,-793.3671087028524,287.81,0.0,421.7,-0.59
