checkpoint,selected,hard_reject,reject_reasons,n_episodes,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_reward_mean,episode_modified_reward_mean,episode_cost_mean,cost_violation_rate,avg_episode_length,safety_efficiency_score
runs/research_v1/axis4_cost_event_driving_final_s2000/checkpoints/latest_100000_steps.zip,False,False,,100.0,0.44,0.32,0.39,0.56,0.6577132669552229,-824.4062798547462,-824.4062798547462,264.4,0.0,430.44,-0.55
runs/research_v1/axis4_cost_event_driving_final_s2000/checkpoints/latest_200000_steps.zip,False,False,,100.0,0.45,0.25,0.49,0.55,0.6897719980143298,-835.6722398669118,-835.6722398669118,270.65,0.0,434.1,-0.565
runs/research_v1/axis4_cost_event_driving_final_s2000/checkpoints/latest_300000_steps.zip,False,False,,100.0,0.49,0.32,0.3,0.51,0.7274995080357446,-721.4675597186584,-721.4675597186584,241.69,0.0,431.79,-0.385
runs/research_v1/axis4_cost_event_driving_final_s2000/checkpoints/final.zip,True,False,,100.0,0.55,0.34,0.34,0.45,0.7009741378282787,-748.3050520981179,-748.3050520981179,242.1,0.0,433.29,-0.355
