checkpoint,selected,hard_reject,reject_reasons,n_episodes,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_reward_mean,episode_modified_reward_mean,episode_cost_mean,cost_violation_rate,avg_episode_length,safety_efficiency_score
runs/research_v1/multiseed_axis1_fasb_stable_seed8000/checkpoints/latest_100000_steps.zip,False,False,,100.0,0.38,0.35,0.6,0.62,0.6347899846173989,-926.2703531335172,-926.2703531335172,293.52,0.0,442.3,-0.8799999999999999
runs/research_v1/multiseed_axis1_fasb_stable_seed8000/checkpoints/latest_200000_steps.zip,False,False,,100.0,0.35,0.22,0.57,0.65,0.6337098156815303,-866.4385497849925,-866.4385497849925,276.82,0.0,438.63,-0.7649999999999999
runs/research_v1/multiseed_axis1_fasb_stable_seed8000/checkpoints/latest_300000_steps.zip,True,False,,100.0,0.55,0.23,0.38,0.45,0.7327673895812978,-616.7528169929328,-616.7528169929328,227.07,0.0,406.88,-0.2849999999999999
runs/research_v1/multiseed_axis1_fasb_stable_seed8000/checkpoints/final.zip,False,False,,100.0,0.51,0.24,0.45,0.49,0.7235545085276951,-643.3808691168507,-643.3808691168507,232.24,0.0,413.06,-0.425
