checkpoint,selected,hard_reject,reject_reasons,n_episodes,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_reward_mean,episode_modified_reward_mean,episode_cost_mean,cost_violation_rate,avg_episode_length,safety_efficiency_score
runs/research_v1/multiseed_axis1_naive_stable_seed3000/checkpoints/latest_100000_steps.zip,True,False,,100.0,0.47,0.34,0.32,0.53,0.7288745726516743,-736.0878418319677,-736.0878418319677,248.25,0.0,428.0,-0.45500000000000007
runs/research_v1/multiseed_axis1_naive_stable_seed3000/checkpoints/latest_200000_steps.zip,False,False,,100.0,0.5,0.29,0.43,0.5,0.7363477687460072,-659.4250663512909,-659.4250663512909,232.52,0.0,420.45,-0.47
runs/research_v1/multiseed_axis1_naive_stable_seed3000/checkpoints/latest_300000_steps.zip,False,False,,100.0,0.46,0.21,0.49,0.54,0.6485650928571954,-728.593212761351,-728.593212761351,258.39,0.0,419.52,-0.51
runs/research_v1/multiseed_axis1_naive_stable_seed3000/checkpoints/final.zip,False,False,,100.0,0.48,0.24,0.53,0.52,0.6851001671619811,-709.038319833742,-709.038319833742,245.6,0.0,419.66,-0.55
