checkpoint,selected,hard_reject,reject_reasons,n_episodes,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_reward_mean,episode_modified_reward_mean,episode_cost_mean,cost_violation_rate,avg_episode_length,safety_efficiency_score
runs/research_v1/multiseed_axis1_naive_stable_seed6000/checkpoints/latest_100000_steps.zip,False,False,,100.0,0.43,0.19,0.44,0.57,0.6383866556803467,-735.135576745106,-735.135576745106,248.19,0.0,422.67,-0.485
runs/research_v1/multiseed_axis1_naive_stable_seed6000/checkpoints/latest_200000_steps.zip,False,False,,100.0,0.46,0.26,0.42,0.54,0.6802642266841477,-735.2141213886457,-735.2141213886457,253.03,0.0,420.88,-0.49
runs/research_v1/multiseed_axis1_naive_stable_seed6000/checkpoints/latest_300000_steps.zip,False,False,,100.0,0.52,0.28,0.52,0.48,0.7253328447522646,-651.08054953035,-651.08054953035,245.39,0.0,416.0,-0.52
runs/research_v1/multiseed_axis1_naive_stable_seed6000/checkpoints/final.zip,True,False,,100.0,0.57,0.27,0.5,0.43,0.7320251626786028,-626.0479636392286,-626.0479636392286,244.35,0.0,410.33,-0.41500000000000004
