checkpoint,selected,hard_reject,reject_reasons,n_episodes,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_reward_mean,episode_modified_reward_mean,episode_cost_mean,cost_violation_rate,avg_episode_length,safety_efficiency_score
runs/research_v1/multiseed_axis1_naive_stable_seed2000/checkpoints/latest_100000_steps.zip,False,False,,100.0,0.3,0.15,0.67,0.7,0.6624126483815482,-1099.529459674043,-1099.529459674043,300.08,0.0,449.35,-0.87
runs/research_v1/multiseed_axis1_naive_stable_seed2000/checkpoints/latest_200000_steps.zip,False,False,,100.0,0.52,0.29,0.46,0.48,0.7171827559309573,-782.8311482823627,-782.8311482823627,266.71,0.0,415.19,-0.47
runs/research_v1/multiseed_axis1_naive_stable_seed2000/checkpoints/latest_300000_steps.zip,False,False,,100.0,0.54,0.27,0.41,0.46,0.7304815656284805,-625.8084888547434,-625.8084888547434,227.03,0.0,407.01,-0.37
runs/research_v1/multiseed_axis1_naive_stable_seed2000/checkpoints/final.zip,True,False,,100.0,0.51,0.15,0.42,0.49,0.7276738940431854,-660.3834638925358,-660.3834638925358,228.12,0.0,405.79,-0.305
