block,block_trains,method,n_seeds,success_rate_mean,success_rate_std,collision_rate_mean,collision_rate_std,offroad_rate_mean,offroad_rate_std,timeout_rate_mean,timeout_rate_std,route_completion_mean_mean,route_completion_mean_std,episode_cost_mean_mean,episode_cost_mean_std,safety_efficiency_score_mean,safety_efficiency_score_std
6_train_first3,6,naive,3,0.43,0.04358898943540674,0.26666666666666666,0.01527525231651948,0.5066666666666667,0.025166114784235853,0.5700000000000001,0.04358898943540671,0.7055255137478578,0.03916843067436458,261.15999999999997,20.873636482414835,-0.6283333333333333,0.09673847907287633
6_train_first3,6,fasb,3,0.43,0.03,0.23666666666666666,0.051316014394468853,0.45666666666666667,0.020816659994661316,0.57,0.02999999999999997,0.6784314151887461,0.006794841055815988,248.81333333333333,4.308089290315768,-0.5483333333333333,0.06898067362191626
12_train_all6,12,naive,6,0.44,0.04147288270665544,0.2566666666666667,0.0564505683467108,0.48833333333333334,0.06047037842337905,0.56,0.041472882706655424,0.6980560739866309,0.03265472688774296,267.985,17.711226665592637,-0.585,0.12280065146407
12_train_all6,12,fasb,6,0.435,0.033911649915626334,0.23,0.041952353926806074,0.4666666666666667,0.04457203906785809,0.565,0.03391164991562631,0.6878521693525969,0.01893541199820884,252.1,6.004438358414548,-0.5441666666666667,0.060117939640898094
